window_start,window_end,total_count,positive_count,positive_rate,baseline_positive_rate,absolute_change,relative_change,label_drift_detected
2019-09-01,2019-10-31,216,1,0.004629629629629629,0.02563580874872838,-0.02100617911909875,-0.8194077013521458,True
2019-09-02,2019-11-01,221,1,0.004524886877828055,0.02563580874872838,-0.021110921870900325,-0.8234934999640882,True
2019-09-05,2019-11-04,215,1,0.004651162790697674,0.02563580874872838,-0.020984645958030707,-0.8185677371723883,True
2019-09-06,2019-11-05,215,1,0.004651162790697674,0.02563580874872838,-0.020984645958030707,-0.8185677371723883,True
2019-09-07,2019-11-06,215,1,0.004651162790697674,0.02563580874872838,-0.020984645958030707,-0.8185677371723883,True
2019-09-08,2019-11-07,220,1,0.004545454545454545,0.02563580874872838,-0.021090354203273834,-0.8226911976911976,True
2019-09-09,2019-11-08,225,1,0.0044444444444444444,0.02563580874872838,-0.021191364304283936,-0.8266313932980599,True
2019-09-12,2019-11-11,215,1,0.004651162790697674,0.02563580874872838,-0.020984645958030707,-0.8185677371723883,True
2019-09-13,2019-11-12,215,1,0.004651162790697674,0.02563580874872838,-0.020984645958030707,-0.8185677371723883,True
2019-09-14,2019-11-13,215,2,0.009302325581395349,0.02563580874872838,-0.016333483167333032,-0.6371354743447767,True
2019-09-15,2019-11-14,220,2,0.00909090909090909,0.02563580874872838,-0.01654489965781929,-0.6453823953823954,True
2019-09-16,2019-11-15,225,2,0.008888888888888889,0.02563580874872838,-0.01674691985983949,-0.6532627865961198,True
2019-09-19,2019-11-18,215,2,0.009302325581395349,0.02563580874872838,-0.016333483167333032,-0.6371354743447767,True
2019-09-20,2019-11-19,215,2,0.009302325581395349,0.02563580874872838,-0.016333483167333032,-0.6371354743447767,True
2019-09-21,2019-11-20,215,2,0.009302325581395349,0.02563580874872838,-0.016333483167333032,-0.6371354743447767,True
2019-09-22,2019-11-21,220,2,0.00909090909090909,0.02563580874872838,-0.01654489965781929,-0.6453823953823954,True
2019-09-23,2019-11-22,225,2,0.008888888888888889,0.02563580874872838,-0.01674691985983949,-0.6532627865961198,True
2019-09-26,2019-11-25,215,2,0.009302325581395349,0.02563580874872838,-0.016333483167333032,-0.6371354743447767,True
2019-09-27,2019-11-26,215,2,0.009302325581395349,0.02563580874872838,-0.016333483167333032,-0.6371354743447767,True
2019-09-28,2019-11-27,215,2,0.009302325581395349,0.02563580874872838,-0.016333483167333032,-0.6371354743447767,True
2019-09-29,2019-11-28,216,2,0.009259259259259259,0.02563580874872838,-0.016376549489469122,-0.6388154027042916,True
2019-09-30,2019-11-29,221,2,0.00904977375565611,0.02563580874872838,-0.01658603499307227,-0.6469869999281763,True
2019-10-03,2019-12-02,211,2,0.009478672985781991,0.02563580874872838,-0.01615713576294639,-0.6302565259911231,True
2019-10-04,2019-12-03,211,2,0.009478672985781991,0.02563580874872838,-0.01615713576294639,-0.6302565259911231,True
2019-10-05,2019-12-04,211,2,0.009478672985781991,0.02563580874872838,-0.01615713576294639,-0.6302565259911231,True
2019-10-06,2019-12-05,216,2,0.009259259259259259,0.02563580874872838,-0.016376549489469122,-0.6388154027042916,True
2019-10-07,2019-12-06,221,2,0.00904977375565611,0.02563580874872838,-0.01658603499307227,-0.6469869999281763,True
2019-10-10,2019-12-09,211,2,0.009478672985781991,0.02563580874872838,-0.01615713576294639,-0.6302565259911231,True
2019-10-11,2019-12-10,211,2,0.009478672985781991,0.02563580874872838,-0.01615713576294639,-0.6302565259911231,True
2019-10-12,2019-12-11,211,3,0.014218009478672985,0.02563580874872838,-0.011417799270055396,-0.4453847889866847,False
2019-10-13,2019-12-12,216,3,0.013888888888888888,0.02563580874872838,-0.011746919859839493,-0.4582231040564374,False
2019-10-14,2019-12-13,221,3,0.013574660633484163,0.02563580874872838,-0.012061148115244218,-0.47048049989226454,False
2019-10-17,2019-12-16,211,3,0.014218009478672985,0.02563580874872838,-0.011417799270055396,-0.4453847889866847,False
2019-10-18,2019-12-17,211,3,0.014218009478672985,0.02563580874872838,-0.011417799270055396,-0.4453847889866847,False
2019-10-19,2019-12-18,211,3,0.014218009478672985,0.02563580874872838,-0.011417799270055396,-0.4453847889866847,False
2019-10-20,2019-12-19,216,3,0.013888888888888888,0.02563580874872838,-0.011746919859839493,-0.4582231040564374,False
2019-10-21,2019-12-20,221,3,0.013574660633484163,0.02563580874872838,-0.012061148115244218,-0.47048049989226454,False
2019-10-24,2019-12-23,211,3,0.014218009478672985,0.02563580874872838,-0.011417799270055396,-0.4453847889866847,False
2019-10-25,2019-12-24,211,3,0.014218009478672985,0.02563580874872838,-0.011417799270055396,-0.4453847889866847,False
2019-10-27,2019-12-26,210,3,0.014285714285714285,0.02563580874872838,-0.011350094463014096,-0.4427437641723356,False
2019-10-28,2019-12-27,215,3,0.013953488372093023,0.02563580874872838,-0.011682320376635358,-0.455703211517165,False
2019-10-31,2019-12-30,205,3,0.014634146341463415,0.02563580874872838,-0.011001662407264965,-0.4291521486643437,False
2019-11-01,2019-12-31,205,3,0.014634146341463415,0.02563580874872838,-0.011001662407264965,-0.4291521486643437,False
2019-11-03,2020-01-02,205,3,0.014634146341463415,0.02563580874872838,-0.011001662407264965,-0.4291521486643437,False
2019-11-04,2020-01-03,210,3,0.014285714285714285,0.02563580874872838,-0.011350094463014096,-0.4427437641723356,False
2019-11-07,2020-01-06,200,3,0.015,0.02563580874872838,-0.010635808748728381,-0.41488095238095235,False
2019-11-08,2020-01-07,200,3,0.015,0.02563580874872838,-0.010635808748728381,-0.41488095238095235,False
2019-11-09,2020-01-08,200,4,0.02,0.02563580874872838,-0.0056358087487283805,-0.21984126984126978,False
2019-11-10,2020-01-09,205,4,0.01951219512195122,0.02563580874872838,-0.006123613626777161,-0.23886953155245833,False
2019-11-11,2020-01-10,210,4,0.01904761904761905,0.02563580874872838,-0.0065881897011093316,-0.256991685563114,False
2019-11-14,2020-01-13,200,3,0.015,0.02563580874872838,-0.010635808748728381,-0.41488095238095235,False
2019-11-15,2020-01-14,200,3,0.015,0.02563580874872838,-0.010635808748728381,-0.41488095238095235,False
